combined_info
"Product Name: SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans. Product Brand: SPYKAR. Gender: Women. Price (INR): 989. Number of Images: 7. Description: Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops. Primary Color: Blue"
Product Name: Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE. Product Brand: Soie. Gender: Women. Price (INR): 750. Number of Images: 4. Description: Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort. Primary Color:  Red
"Product Name: Lara Karen Women Black Solid Maxi Satin Skirt. Product Brand: Lara Karen. Gender: Women. Price (INR): 1999. Number of Images: 5. Description: Black solid woven maxi skirt, has a slip-on closure, flared hem. Primary Color:  Black"
"Product Name: Gini and Jony Girls Yellow Fit and Flare Embellished Dress. Product Brand: Gini and Jony. Gender: Girls. Price (INR): 1619. Number of Images: 3. Description: Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem. Primary Color:  Yellow"
Product Name: Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers. Product Brand: Story@home. Gender: Unisex. Price (INR): 1199. Number of Images: 4. Description: Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and bluePattern: Geometric. Primary Color: Blue
Product Name: PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801. Product Brand: PARFAIT. Gender: Women. Price (INR): 1189. Number of Images: 2. Description: Blue solid medium-coverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort. Primary Color: Blue
"Product Name: Urban Dog Men Grey Solid Regular Fit Sports Shorts. Product Brand: Urban Dog. Gender: Men. Price (INR): 399. Number of Images: 5. Description: Grey solid mid-rise sports shorts, has two pockets, a drawstring closure. Primary Color:  Grey"
"Product Name: ahilya Sterling Silver Textured Bangle. Product Brand: ahilya. Gender: Women. Price (INR): 9756. Number of Images: 5. Description: Sterling silver textured bangle, has animal-shaped detail on the endsNote: This jewellery is handcrafted, therefore there might be slight variations from the image.. Primary Color:  Red"
Product Name: PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441. Product Brand: PARFAIT. Gender: Women. Price (INR): 1609. Number of Images: 2. Description: Blue solid medium-coverage T-shirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort. Primary Color: Blue
"Product Name: VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket. Product Brand: VASTRAMAY. Gender: Boys. Price (INR): 1469. Number of Images: 3. Description: Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGold-toned solid dhoti pants, slip-on closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket. Primary Color: Blue"
"Product Name: Difference of Opinion Men Grey Melange Printed Round Neck T-shirt. Product Brand: Difference of Opinion. Gender: Men. Price (INR): 499. Number of Images: 5. Description: Grey printed T-shirt, has round neck, long sleeves. Primary Color:  Grey"
"Product Name: Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt. Product Brand: Campus Sutra. Gender: Men. Price (INR): 479. Number of Images: 5. Description: White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket. Primary Color: Blue"
"Product Name: FIDO DIDO Men White Printed Round Neck T-shirt. Product Brand: FIDO DIDO. Gender: Men. Price (INR): 449. Number of Images: 5. Description: White and black printed T-shirt,has round neck,short sleeves. Primary Color:  White"
Product Name: MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls. Product Brand: MIAH Decor. Gender: Unisex. Price (INR): 1469. Number of Images: 5. Description: Type: BowlsPattern: PrintedFinish: Matte Material: Ceramic. Primary Color:  Black
Product Name: JEWEL JUNCTION Gold-Toned Geometric Cufflinks. Product Brand: JEWEL JUNCTION. Gender: Men. Price (INR): 539. Number of Images: 5. Description: A pair of gold-toned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case. Primary Color:  Gold
"Product Name: Vishudh Women Off-White & Green Floral Print A-Line Dress. Product Brand: Vishudh. Gender: Women. Price (INR): 1299. Number of Images: 5. Description: Off-White and green printed woven A-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem. Primary Color:  Green"
"Product Name: Urban Dog Men Grey Printed Regular Fit Sports Shorts. Product Brand: Urban Dog. Gender: Men. Price (INR): 399. Number of Images: 5. Description: Grey printed mid-rise sports shorts, has two pockets, a drawstring closure. Primary Color:  Grey"
"Product Name: PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303. Product Brand: PARFAIT. Gender: Women. Price (INR): 499. Number of Images: 3. Description: Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset. Primary Color: Blue"
Product Name: SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats. Product Brand: SEJ by Nisha Gupta. Gender: Unisex. Price (INR): 899. Number of Images: 4. Description: Set content: 6 table mats Shape: Rectangle Colour: Yellow and bluePattern: Printed Suitable For: 6 seater table Material: Cotton . Primary Color: Blue
"Product Name: ID Men Brown Leather Loafers. Product Brand: ID. Gender: Men. Price (INR): 1218. Number of Images: 5. Description: A pair of square toe brown loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer. Primary Color:  Brown"
Product Name: PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391. Product Brand: PARFAIT. Gender: Women. Price (INR): 1609. Number of Images: 2. Description: Red solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort. Primary Color:  Red
"Product Name: SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans. Product Brand: SPYKAR. Gender: Women. Price (INR): 1214. Number of Images: 7. Description: Blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops. Primary Color: Blue"
